,id,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,date
625,253rM8bzLuRZSH8N5Z3yox,0.184,0.604,235129,0.658,1.09e-06,10,0.114,-6.596,0,0.0667,168.12,4,0.825,2017-06-09
626,3fVnlF4pGqWI9flVENcT28,0.0704,0.559,220440,0.689,0.00304,8,0.102,-7.344,1,0.0811,140.035,4,0.468,2017-06-09
627,2mL3B5GilTm4dUT6P8LVpd,0.00579,0.855,180114,0.506,0.0,6,0.101,-5.303,1,0.345,160.088,4,0.699,2017-06-10
628,4F6wWmmWUG7MxMp0Yva7Qk,0.0505,0.835,196692,0.604,0.0,2,0.213,-4.239,1,0.0433,129.899,4,0.571,2017-06-12
629,3ao5U0ksMLvgSoJqOpsgmv,0.0506,0.606,217891,0.536,0.0,1,0.0938,-2.431,0,0.53,172.335,5,0.614,2017-06-14
630,12o6dxWGk29uIAP3OWY0pM,0.252,0.762,189796,0.437,2.86e-06,10,0.0901,-5.581,1,0.0568,106.965,4,0.217,2017-06-16
631,5bcTCxgc7xVfSaMV3RuVke,0.0642,0.893,223413,0.745,0.0,11,0.0943,-3.105,0,0.0571,101.018,4,0.872,2017-06-16
632,5r011NB07RHjABbuVGVIbd,0.261,0.654,271088,0.389,0.0116,0,0.0891,-10.053,1,0.0481,123.151,4,0.132,2017-06-16
633,0wVGdVXKpv5d93SWQF9XBr,0.121,0.569,186867,0.841,0.0,6,0.301,-4.811,0,0.0381,164.074,4,0.532,2017-06-16
634,1Dp7JGFNjvg8Nk0CtMCcnr,0.0328,0.487,367391,0.445,0.0104,1,0.0778,-10.959,0,0.113,97.031,4,0.18,2017-06-16
635,1wC93sZRGcTgKLN2UWRSwW,0.00289,0.621,221874,0.574,3.04e-05,1,0.128,-5.325,0,0.0555,104.344,4,0.537,2017-06-16
636,1OAh8uOEOvTDqkKFsKksCi,0.0329,0.671,204173,0.672,0.0,0,0.118,-3.094,0,0.0688,97.98,4,0.632,2017-06-16
637,54ucfuN596MU25jQD3KjCL,0.166,0.524,178639,0.312,4.79e-06,8,0.073,-11.627,0,0.0444,112.948,4,0.101,2017-06-16
638,193Dm5SqYy3hTSbuzxbwKc,0.73,0.325,216611,0.271,0.0,7,0.301,-8.069,1,0.0418,71.855,4,0.279,2017-06-16
639,0dyiHoYbYjYaOEXLpmzQZG,0.225,0.587,277506,0.442,2.72e-05,0,0.0801,-10.395,1,0.0506,124.881,4,0.158,2017-06-16
640,0XfOi87h82i09rQjWYG0Bm,0.104,0.767,165467,0.934,0.0,4,0.0835,-3.057,0,0.195,121.069,4,0.895,2017-06-16
641,4gDyoe1FImDlXVt58ssnMf,0.155,0.348,274587,0.712,0.702,5,0.0683,-6.412,1,0.0335,73.102,4,0.424,2017-06-16
642,6lFDB0BFDRV58qaQDX85jV,0.904,0.552,136020,0.277,0.0,0,0.107,-12.09,1,0.0635,77.759,4,0.26,2017-06-16
643,6jmngk8Fwup05JZ6kgXEGX,0.0168,0.539,232907,0.768,1.43e-06,4,0.0939,-5.344,1,0.0336,99.961,4,0.12,2017-06-16
644,4BcWcZoludxrNoPUw5napp,0.119,0.717,170649,0.918,0.0,0,0.0751,-2.638,1,0.0482,153.983,4,0.962,2017-06-18
645,2wc8HF4fqX4oPBuZnadO8t,0.141,0.625,257280,0.699,0.0,11,0.301,-4.36,1,0.174,129.844,4,0.789,2017-06-19
646,4IWAyPf1KMq7JCyGeCjTeH,0.0429,0.675,201240,0.649,0.0,1,0.128,-4.953,1,0.0315,134.955,4,0.537,2017-06-19
647,3j7FDNUqIMWKaji6PK5SyF,0.176,0.853,169770,0.543,0.0,11,0.0654,-3.075,1,0.123,99.71,4,0.751,2017-06-19
